model,dataset,template,shots,seed,n_samples,accuracy,f1_macro,f1_weighted,coverage,runtime_s
VADER,FPBall,-,0,42,452,0.5509,0.4832,0.553,1.0,0.02
FinBERT,FPBall,-,0,42,452,0.9801,0.977,0.9802,1.0,19.82
qwen25_7b,FPBall,A,0,42,300,0.8533,0.8342,0.8419,1.0,210.32
qwen25_7b,FPBall,A,3,42,300,0.93,0.9281,0.9278,1.0,159.9
qwen25_7b,FPBall,B,0,42,300,0.913,0.9078,0.9101,0.9967,150.22
qwen25_7b,FPBall,B,3,42,300,0.8333,0.8518,0.8369,1.0,171.19
mistral7b,FPBall,A,0,42,300,0.8896,0.883,0.8851,0.9967,179.43
mistral7b,FPBall,A,3,42,300,0.94,0.9371,0.9388,1.0,175.61
mistral7b,FPBall,B,0,42,300,0.8033,0.7599,0.7927,1.0,67.92
mistral7b,FPBall,B,3,42,300,0.87,0.8615,0.8677,1.0,82.11
plutus8b,FPBall,A,0,42,300,0.7833,0.7597,0.7849,1.0,96.5
plutus8b,FPBall,A,3,42,300,0.8639,0.8508,0.864,0.98,64.79
plutus8b,FPBall,B,0,42,300,0.7833,0.7149,0.7373,1.0,45.9
plutus8b,FPBall,B,3,42,300,0.7867,0.7479,0.7849,1.0,64.07
