dataset,model,n_eval,f1_macro,ci_lo,ci_hi,ci_halfwidth
FPB,FinBERT,690,0.9254,0.9021,0.9468,0.0223
FPB,FinBERT-tone,690,0.8552,0.8231,0.8836,0.0303
FPB,Mistral-7B,300,0.8897,0.847,0.9253,0.0391
FPB,Qwen2.5-7B,300,0.8324,0.7842,0.8776,0.0467
FPB,plutus-8B,295,0.8291,0.7765,0.8726,0.0481
FPB,VADER,690,0.4694,0.4296,0.5131,0.0418
FiQA,FinBERT,1173,0.482,0.4553,0.5073,0.026
FiQA,Mistral-7B,300,0.5989,0.5485,0.6494,0.0504
FiQA,Qwen2.5-7B,300,0.6727,0.6196,0.7237,0.0521
FiQA,plutus-8B,300,0.5966,0.5428,0.6493,0.0533
FiQA,VADER,1173,0.3863,0.3597,0.4116,0.026
FPB-AllAgree,FinBERT,452,0.977,0.9604,0.9906,0.0151
FPB-AllAgree,Mistral-7B,300,0.9371,0.9082,0.9644,0.0281
FPB-AllAgree,Qwen2.5-7B,300,0.9281,0.8961,0.9548,0.0294
FPB-AllAgree,plutus-8B,294,0.8508,0.8058,0.8937,0.044
FPB-AllAgree,VADER,452,0.4832,0.4331,0.5327,0.0498
