ensemble,model,dataset,method,tie_break,n_members,n_samples,ens_acc,ens_f1,ens_cov,single_mean_acc,single_worst_acc,single_best_acc,single_std_acc,single_mean_f1,single_worst_f1,single_best_f1,d_acc_vs_mean,d_acc_vs_best,d_f1_vs_mean,d_f1_vs_best
E4,mistral7b,FPB,cv_weighted,abstain,4,300,0.87,0.8428,1.0,0.82,0.7633,0.9033,0.0574,0.7585,0.6525,0.8897,0.05,-0.0333,0.0842,-0.0469
E4,mistral7b,FPB,oracle_weighted,abstain,4,300,0.87,0.8428,1.0,0.82,0.7633,0.9033,0.0574,0.7585,0.6525,0.8897,0.05,-0.0333,0.0842,-0.0469
E4,mistral7b,FPB,unweighted,abstain,4,300,0.875,0.8306,0.88,0.82,0.7633,0.9033,0.0574,0.7585,0.6525,0.8897,0.055,-0.0283,0.0721,-0.0591
E4,mistral7b,FPB,unweighted,neutral,4,300,0.79,0.7061,1.0,0.82,0.7633,0.9033,0.0574,0.7585,0.6525,0.8897,-0.03,-0.1133,-0.0524,-0.1835
E4,mistral7b,FPB,unweighted,order,4,300,0.8333,0.7881,1.0,0.82,0.7633,0.9033,0.0574,0.7585,0.6525,0.8897,0.0133,-0.07,0.0296,-0.1015
E4,plutus8b,FPB,cv_weighted,abstain,4,300,0.8067,0.7519,1.0,0.7835,0.71,0.8508,0.0533,0.721,0.6477,0.8291,0.0231,-0.0442,0.031,-0.0771
E4,plutus8b,FPB,oracle_weighted,abstain,4,300,0.82,0.7622,1.0,0.7835,0.71,0.8508,0.0533,0.721,0.6477,0.8291,0.0365,-0.0308,0.0412,-0.0668
E4,plutus8b,FPB,unweighted,abstain,4,300,0.8556,0.7857,0.9,0.7835,0.71,0.8508,0.0533,0.721,0.6477,0.8291,0.072,0.0047,0.0647,-0.0433
E4,plutus8b,FPB,unweighted,neutral,4,300,0.8,0.7264,1.0,0.7835,0.71,0.8508,0.0533,0.721,0.6477,0.8291,0.0165,-0.0508,0.0054,-0.1026
E4,plutus8b,FPB,unweighted,order,4,300,0.7933,0.7121,1.0,0.7835,0.71,0.8508,0.0533,0.721,0.6477,0.8291,0.0098,-0.0575,-0.0089,-0.1169
E4,qwen25_7b,FPB,cv_weighted,abstain,4,300,0.8528,0.8167,0.9967,0.8392,0.82,0.86,0.0142,0.7986,0.7638,0.8324,0.0137,-0.0072,0.0181,-0.0156
E4,qwen25_7b,FPB,oracle_weighted,abstain,4,300,0.86,0.8252,1.0,0.8392,0.82,0.86,0.0142,0.7986,0.7638,0.8324,0.0208,0.0,0.0265,-0.0072
E4,qwen25_7b,FPB,unweighted,abstain,4,300,0.8676,0.8316,0.9567,0.8392,0.82,0.86,0.0142,0.7986,0.7638,0.8324,0.0284,0.0076,0.033,-0.0008
E4,qwen25_7b,FPB,unweighted,neutral,4,300,0.8467,0.8044,1.0,0.8392,0.82,0.86,0.0142,0.7986,0.7638,0.8324,0.0075,-0.0133,0.0057,-0.028
E4,qwen25_7b,FPB,unweighted,order,4,300,0.8567,0.8177,1.0,0.8392,0.82,0.86,0.0142,0.7986,0.7638,0.8324,0.0175,-0.0033,0.019,-0.0147
E4,mistral7b,FiQA,cv_weighted,abstain,4,300,0.6212,0.5993,0.9767,0.5908,0.53,0.63,0.0392,0.5589,0.4972,0.5989,0.0303,-0.0088,0.0404,0.0004
E4,mistral7b,FiQA,oracle_weighted,abstain,4,300,0.6267,0.6044,1.0,0.5908,0.53,0.63,0.0392,0.5589,0.4972,0.5989,0.0358,-0.0033,0.0455,0.0055
E4,mistral7b,FiQA,unweighted,abstain,4,300,0.6163,0.5945,0.86,0.5908,0.53,0.63,0.0392,0.5589,0.4972,0.5989,0.0254,-0.0137,0.0356,-0.0044
E4,mistral7b,FiQA,unweighted,neutral,4,300,0.53,0.5128,1.0,0.5908,0.53,0.63,0.0392,0.5589,0.4972,0.5989,-0.0608,-0.1,-0.0461,-0.0861
E4,mistral7b,FiQA,unweighted,order,4,300,0.5967,0.5854,1.0,0.5908,0.53,0.63,0.0392,0.5589,0.4972,0.5989,0.0058,-0.0333,0.0265,-0.0135
E4,plutus8b,FiQA,cv_weighted,abstain,4,300,0.5267,0.5235,1.0,0.4919,0.4,0.6567,0.099,0.4877,0.4256,0.5966,0.0348,-0.13,0.0357,-0.0731
E4,plutus8b,FiQA,oracle_weighted,abstain,4,300,0.5267,0.5235,1.0,0.4919,0.4,0.6567,0.099,0.4877,0.4256,0.5966,0.0348,-0.13,0.0357,-0.0731
E4,plutus8b,FiQA,unweighted,abstain,4,300,0.4961,0.5094,0.8533,0.4919,0.4,0.6567,0.099,0.4877,0.4256,0.5966,0.0042,-0.1606,0.0217,-0.0872
E4,plutus8b,FiQA,unweighted,neutral,4,300,0.4433,0.4687,1.0,0.4919,0.4,0.6567,0.099,0.4877,0.4256,0.5966,-0.0486,-0.2133,-0.019,-0.1279
E4,plutus8b,FiQA,unweighted,order,4,300,0.4667,0.4724,1.0,0.4919,0.4,0.6567,0.099,0.4877,0.4256,0.5966,-0.0252,-0.19,-0.0153,-0.1242
E4,qwen25_7b,FiQA,cv_weighted,abstain,4,300,0.6533,0.6267,1.0,0.6008,0.54,0.7167,0.0682,0.58,0.5221,0.6727,0.0525,-0.0633,0.0466,-0.046
E4,qwen25_7b,FiQA,oracle_weighted,abstain,4,300,0.6533,0.6267,1.0,0.6008,0.54,0.7167,0.0682,0.58,0.5221,0.6727,0.0525,-0.0633,0.0466,-0.046
E4,qwen25_7b,FiQA,unweighted,abstain,4,300,0.6513,0.6395,0.87,0.6008,0.54,0.7167,0.0682,0.58,0.5221,0.6727,0.0505,-0.0653,0.0595,-0.0331
E4,qwen25_7b,FiQA,unweighted,neutral,4,300,0.5867,0.5863,1.0,0.6008,0.54,0.7167,0.0682,0.58,0.5221,0.6727,-0.0142,-0.13,0.0063,-0.0863
E4,qwen25_7b,FiQA,unweighted,order,4,300,0.63,0.6127,1.0,0.6008,0.54,0.7167,0.0682,0.58,0.5221,0.6727,0.0292,-0.0867,0.0326,-0.06
