run_id,n_75agree,acc_75,f1_75,cov_75,n_allagree,acc_allagree,f1_allagree,cov_allagree
finbert__FPB__seed42,690,0.9348,0.9254,1.0,460,0.9674,0.9589,1.0
finbert_tone__FPB__seed42,690,0.8812,0.8552,1.0,460,0.9348,0.92,1.0
mistral7b__FPB__A__0shot__seed42,300,0.8433,0.803,1.0,195,0.8923,0.8707,1.0
mistral7b__FPB__A__3shot__seed42,300,0.9033,0.8897,1.0,195,0.9538,0.9487,1.0
mistral7b__FPB__B__0shot__seed42,300,0.77,0.6889,1.0,195,0.8103,0.7464,1.0
mistral7b__FPB__B__3shot__seed42,300,0.7633,0.6525,1.0,195,0.7949,0.7134,1.0
plutus8b__FPB__A__0shot__seed42,300,0.71,0.6617,1.0,195,0.7744,0.7345,1.0
plutus8b__FPB__A__3shot__seed42,300,0.8508,0.8291,0.9833,195,0.901,0.888,0.9846
plutus8b__FPB__B__0shot__seed42,300,0.76,0.6477,1.0,195,0.8051,0.7112,1.0
plutus8b__FPB__B__3shot__seed42,300,0.8133,0.7454,1.0,195,0.8462,0.7864,1.0
qwen25_7b__FPB__A__0shot__seed42,300,0.82,0.7638,1.0,195,0.8667,0.8311,1.0
qwen25_7b__FPB__A__3shot__seed42,300,0.86,0.8324,1.0,195,0.9231,0.9119,1.0
qwen25_7b__FPB__B__0shot__seed42,300,0.84,0.8061,1.0,195,0.9128,0.8978,1.0
qwen25_7b__FPB__B__3shot__seed42,300,0.8367,0.7923,1.0,195,0.8872,0.8575,1.0
vader__FPB__seed42,690,0.5536,0.4694,1.0,460,0.5478,0.4534,1.0
