model,dataset,template,shots,n,coverage,accuracy,f1_macro,neu_prec,neu_rec,pos_rec,neg_rec
plutus8b,FPB,A,0,300,1.0,0.71,0.6617,0.8457,0.7405,0.4571,0.9778
plutus8b,FPB,B,0,300,1.0,0.76,0.6477,0.7366,0.9676,0.1571,0.8444
plutus8b,FPB,D,0,300,1.0,0.5933,0.6135,0.9268,0.4108,0.8286,0.9778
plutus8b,FPB,F,0,300,0.9967,0.6555,0.6349,0.9322,0.5978,0.5857,1.0
plutus8b,FPB,H,0,300,0.9967,0.7793,0.7527,0.9448,0.7446,0.7429,0.9778
plutus8b,FiQA,A,0,300,1.0,0.6567,0.5966,0.2208,0.4722,0.5465,0.9348
plutus8b,FiQA,B,0,300,1.0,0.4,0.4322,0.1602,0.9167,0.2326,0.5109
plutus8b,FiQA,D,0,300,1.0,0.78,0.6708,0.375,0.3333,0.8023,0.913
plutus8b,FiQA,F,0,300,1.0,0.7067,0.6134,0.2927,0.3333,0.6512,0.9565
plutus8b,FiQA,H,0,300,0.9967,0.7291,0.6497,0.2963,0.4444,0.6842,0.9239
mistral7b,FPB,A,0,300,1.0,0.8433,0.803,0.8211,0.9676,0.4857,0.8889
mistral7b,FPB,B,0,300,1.0,0.77,0.6889,0.7489,0.9514,0.4857,0.4667
mistral7b,FPB,D,0,300,1.0,0.8,0.8025,0.8938,0.773,0.8,0.9111
mistral7b,FPB,F,0,300,1.0,0.8567,0.8407,0.8871,0.8919,0.7429,0.8889
mistral7b,FPB,H,0,300,1.0,0.86,0.8403,0.8718,0.9189,0.7286,0.8222
mistral7b,FiQA,A,0,300,1.0,0.62,0.5989,0.2101,0.6944,0.5407,0.7391
mistral7b,FiQA,B,0,300,1.0,0.63,0.5641,0.2353,0.7778,0.7384,0.3696
mistral7b,FiQA,D,0,300,1.0,0.6933,0.6476,0.2609,0.6667,0.6628,0.7609
mistral7b,FiQA,F,0,300,1.0,0.73,0.6743,0.3038,0.6667,0.7326,0.75
mistral7b,FiQA,H,0,300,1.0,0.6867,0.6206,0.2396,0.6389,0.7616,0.5652
qwen25_7b,FPB,A,0,300,1.0,0.82,0.7638,0.7845,0.9838,0.4,0.8
qwen25_7b,FPB,A,3,300,1.0,0.86,0.8324,0.8544,0.9514,0.5714,0.9333
qwen25_7b,FPB,B,0,300,1.0,0.84,0.8061,0.8398,0.9351,0.5857,0.8444
qwen25_7b,FPB,B,3,300,1.0,0.8367,0.7923,0.8447,0.9405,0.5571,0.8444
qwen25_7b,FiQA,A,0,300,1.0,0.5733,0.5785,0.2119,0.8889,0.4419,0.6957
qwen25_7b,FiQA,A,3,300,1.0,0.54,0.5468,0.2013,0.8889,0.4302,0.6087
qwen25_7b,FiQA,B,0,300,1.0,0.7167,0.6727,0.2841,0.6944,0.6279,0.8913
qwen25_7b,FiQA,B,3,300,1.0,0.5733,0.5221,0.2,0.4444,0.4012,0.9457
